,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
79,357,Seth Curry,29.2,4.9,10.1,0.488,2.2,5.066666666666666,0.43566666666666665,1.5,1.7666666666666666,0.8686666666666666,1.2666666666666666,1.9666666666666666,0.3666666666666667,2.1333333333333333,2.533333333333333,2.4000000000000004,0.7666666666666667,0.10000000000000002,13.6,2020.0,1
80,362,Spencer Dinwiddie,30.45,5.6,13.85,0.40449999999999997,1.9,5.800000000000001,0.32599999999999996,3.85,4.85,0.8265,2.1,2.45,0.6,3.6,4.2,6.0,0.44999999999999996,0.25,17.0,2020.0,1
81,369,T.J. Warren,32.9,8.0,14.9,0.536,1.4,3.4,0.403,2.5,3.0,0.819,1.3,2.8,1.0,3.2,4.2,1.5,1.2,0.5,19.8,2019.0,1
82,377,Terry Rozier,33.93333333333334,6.733333333333333,15.5,0.434,2.8333333333333335,7.466666666666668,0.38199999999999995,2.3666666666666667,2.766666666666667,0.8536666666666667,1.8333333333333333,1.7,0.6999999999999998,3.4,4.1000000000000005,3.966666666666667,1.2,0.3666666666666667,18.7,2020.0,1
83,382,Tim Hardaway Jr.,29.96666666666667,5.400000000000001,12.866666666666667,0.42166666666666663,2.766666666666667,7.3,0.37666666666666665,2.033333333333333,2.6,0.7883333333333332,0.7999999999999999,1.8,0.3666666666666667,3.1,3.4666666666666663,2.0,0.6666666666666666,0.13333333333333333,15.633333333333335,2020.0,1
84,401,Tyler Herro,30.399999999999995,6.266666666666666,14.233333333333334,0.438,2.3000000000000003,5.966666666666666,0.38166666666666665,1.8333333333333333,2.2,0.8443333333333333,2.1666666666666665,1.3666666666666665,0.5333333333333333,4.333333333333333,4.866666666666666,3.133333333333333,0.6,0.16666666666666666,16.666666666666668,2020.0,1
85,402,Tyrese Haliburton,31.75,4.8,10.649999999999999,0.45199999999999996,1.85,4.75,0.392,0.9,1.15,0.8035,1.75,1.35,0.85,2.55,3.4,5.4,1.55,0.6,12.4,2020.5,1
86,409,Will Barton,32.46666666666667,5.5,12.533333333333331,0.4406666666666667,2.0666666666666664,5.3999999999999995,0.379,1.5,2.0,0.754,1.6333333333333335,1.7,0.9,4.3,5.2,3.6666666666666665,0.9666666666666668,0.43333333333333335,14.6,2020.0,1
0,5,Alec Burks,25.600000000000005,4.266666666666667,10.133333333333333,0.41766666666666663,2.0,4.833333333333333,0.412,2.6666666666666665,3.0666666666666664,0.8556666666666667,1.0666666666666667,2.033333333333333,0.5,3.733333333333333,4.266666666666667,2.3666666666666667,0.8999999999999999,0.3,13.1,2020.0,3
1,27,Blake Griffin,23.75,2.9,7.6,0.3705,1.0,3.9,0.251,1.4,1.95,0.72,0.9,2.3499999999999996,1.0,3.9,4.9,2.5,0.6,0.44999999999999996,8.25,2020.5,3
2,28,Bobby Portis,23.366666666666664,4.8,10.066666666666665,0.48066666666666663,1.3333333333333333,3.233333333333333,0.4119999999999999,1.2333333333333334,1.5333333333333332,0.7723333333333332,1.1666666666666667,2.0333333333333337,1.9333333333333333,5.2,7.133333333333333,1.3333333333333333,0.7000000000000001,0.5333333333333333,12.166666666666666,2020.0,3
3,36,Brook Lopez,26.95,4.449999999999999,9.5,0.469,1.45,4.4,0.326,1.7999999999999998,2.1,0.8405,0.95,2.25,1.2,3.6,4.8,1.1,0.6499999999999999,1.95,12.15,2019.5,3
4,37,"Bruce Brown, Jr.",24.400000000000002,3.3000000000000003,6.833333333333333,0.4833333333333334,0.39999999999999997,1.2333333333333334,0.312,1.0666666666666667,1.5,0.722,1.0333333333333332,2.4666666666666663,1.3333333333333333,3.466666666666667,4.733333333333333,2.2333333333333334,1.0666666666666667,0.4666666666666666,8.066666666666668,2020.0,3
5,44,Cam Reddish,24.6,3.85,9.6,0.39849999999999997,1.5,4.25,0.357,1.85,2.2,0.8465,1.5,1.8499999999999999,0.75,2.55,3.25,1.2,1.1,0.35,11.0,2020.0,3
6,46,Cameron Johnson,23.099999999999998,3.266666666666666,7.733333333333334,0.4246666666666667,1.9333333333333333,5.1000000000000005,0.379,0.8333333333333334,1.0666666666666667,0.7926666666666667,0.6666666666666666,1.4666666666666668,0.6,2.733333333333333,3.2999999999999994,1.3,0.6666666666666666,0.3333333333333333,9.3,2020.0,3
7,49,Cedi Osman,25.76666666666667,3.9333333333333336,9.333333333333334,0.424,2.0,5.433333333333334,0.36533333333333334,1.1333333333333335,1.5,0.7280000000000001,1.2333333333333332,2.033333333333333,0.5,2.766666666666667,3.266666666666666,2.3333333333333335,0.8666666666666667,0.2333333333333333,10.966666666666667,2020.0,3
8,68,Damion Lee,22.96666666666667,3.233333333333333,7.533333333333334,0.439,1.4333333333333333,3.9333333333333336,0.36199999999999993,1.3333333333333333,1.5666666666666667,0.8716666666666667,0.8333333333333334,1.7666666666666668,0.5,3.266666666666667,3.766666666666667,1.7000000000000002,0.7000000000000001,0.10000000000000002,9.299999999999999,2020.0,3
9,71,Daniel Theis,23.833333333333332,3.6,6.766666666666666,0.5326666666666666,0.7333333333333334,2.2666666666666666,0.323,1.1666666666666667,1.633333333333333,0.7286666666666667,1.0,2.8333333333333335,1.5666666666666667,4.066666666666666,5.633333333333333,1.4000000000000001,0.5333333333333333,0.9,9.066666666666666,2020.0,3
10,72,Danilo Gallinari,25.03333333333333,4.266666666666667,9.933333333333334,0.42933333333333334,2.1333333333333333,5.266666666666667,0.4003333333333334,3.1,3.4,0.916,0.8333333333333334,1.4666666666666668,0.43333333333333335,3.9666666666666663,4.433333333333334,1.5999999999999999,0.6,0.16666666666666666,13.800000000000002,2020.0,3
11,73,Danny Green,25.633333333333336,2.966666666666667,6.966666666666666,0.42966666666666664,2.1333333333333333,5.3999999999999995,0.397,0.3666666666666667,0.5,0.8210000000000001,1.0,1.9000000000000001,0.7333333333333334,2.466666666666667,3.1999999999999997,1.3666666666666665,1.3,0.7000000000000001,8.466666666666667,2020.0,3
12,74,Danuel House,30.4,3.7,8.6,0.427,2.0,5.6,0.363,1.2,1.4,0.811,0.9,2.1,0.9,3.3,4.2,1.3,1.1,0.5,10.5,2019.0,3
13,75,Dario Saric,21.049999999999997,3.5,7.5,0.4615,1.1,3.1500000000000004,0.3525,1.65,1.95,0.846,1.2000000000000002,2.15,1.2,3.75,5.0,1.6,0.6,0.15000000000000002,9.7,2019.5,3
14,76,Darius Bazley,25.7,3.4,8.9,0.38133333333333336,1.0999999999999999,3.6666666666666665,0.30333333333333334,1.3666666666666665,2.0,0.6716666666666665,1.4666666666666668,0.9333333333333335,0.7999999999999999,5.133333333333333,5.8999999999999995,1.2666666666666666,0.5666666666666668,0.7999999999999999,9.233333333333334,2020.0,3
15,79,Davion Mitchell,25.6,3.6,9.7,0.373,1.1,4.0,0.281,0.7,1.1,0.654,1.1,2.4,0.7,2.0,2.6,3.4,0.8,0.2,9.1,2021.0,3
16,83,De'Anthony Melton,21.433333333333334,3.2999999999999994,7.966666666666666,0.41566666666666663,1.4000000000000001,3.7999999999999994,0.35333333333333333,1.0,1.3333333333333333,0.7410000000000001,1.4666666666666668,1.6333333333333335,0.7333333333333334,2.9,3.633333333333333,2.6,1.3666666666666665,0.5333333333333333,8.966666666666667,2020.0,3
17,97,Derrick White,28.0,4.25,10.05,0.43100000000000005,1.4,4.300000000000001,0.33199999999999996,2.3,2.75,0.837,1.35,2.2,0.55,2.9,3.45,4.3,0.8500000000000001,0.9,12.25,2020.0,3
18,98,Desmond Bane,25.55,4.8,10.15,0.4715,2.15,5.25,0.41600000000000004,0.8999999999999999,1.0,0.861,1.25,2.15,0.55,3.2,3.75,1.85,0.75,0.30000000000000004,12.65,2020.5,3
19,106,Donte DiVincenzo,25.25,3.65,8.4,0.4375,1.65,4.45,0.35750000000000004,0.9,1.2000000000000002,0.7255,1.4,1.7,1.1,4.15,5.3,2.7,1.2000000000000002,0.25,9.8,2019.5,3
20,107,Dorian Finney-Smith,31.133333333333336,3.5,7.7,0.4573333333333333,1.8333333333333333,4.766666666666667,0.383,0.7333333333333334,1.0999999999999999,0.6793333333333335,0.9,2.3666666666666667,1.7666666666666666,3.4,5.166666666666667,1.6333333333333335,1.0333333333333334,0.4666666666666666,9.566666666666668,2020.0,3
21,108,Doug McDermott,22.2,4.65,9.0,0.51,1.7999999999999998,4.3,0.4115,0.95,1.15,0.822,0.7,1.75,0.65,2.25,2.9,1.2000000000000002,0.25,0.1,11.95,2019.5,3
22,109,Draymond Green,30.85,3.0,5.95,0.505,0.4,1.5,0.29400000000000004,1.2000000000000002,1.75,0.6935,3.05,2.85,1.05,6.55,7.55,8.25,1.5499999999999998,0.9,7.6,2020.5,3
23,112,Dwayne Bacon,25.7,4.1,10.1,0.402,0.8,2.9,0.285,2.0,2.4,0.824,0.6,1.4,0.4,2.7,3.1,1.3,0.6,0.1,10.9,2020.0,3
24,118,Elfrid Payton,23.6,4.3,9.9,0.432,0.4,1.6,0.286,1.2,1.7,0.682,1.6,1.8,1.0,2.4,3.4,3.2,0.7,0.1,10.1,2020.0,3
25,122,Eric Bledsoe,27.766666666666666,4.3999999999999995,10.0,0.43599999999999994,1.2333333333333334,3.8000000000000003,0.3163333333333333,2.1,2.733333333333333,0.7713333333333333,2.0,1.7666666666666668,0.6,3.3666666666666667,4.0,4.2,1.0,0.3666666666666667,12.066666666666665,2020.0,3
26,134,Furkan Korkmaz,21.36666666666667,3.266666666666667,8.066666666666666,0.4036666666666667,1.8,4.966666666666667,0.36433333333333334,1.0333333333333334,1.3333333333333333,0.765,0.8666666666666667,1.1666666666666667,0.26666666666666666,2.1333333333333333,2.433333333333333,1.7333333333333332,0.7333333333333334,0.16666666666666666,9.333333333333334,2020.0,3
27,136,Garrett Temple,24.76666666666667,2.766666666666666,7.033333333333334,0.39366666666666666,1.4000000000000001,4.233333333333333,0.342,0.8666666666666667,1.0999999999999999,0.799,0.9333333333333332,1.9000000000000001,0.5666666666666667,2.466666666666667,3.0666666666666664,1.9333333333333336,0.8666666666666667,0.5333333333333333,7.833333333333333,2020.0,3
28,138,Gary Harris,28.55,3.45,8.3,0.415,1.05,3.5999999999999996,0.30700000000000005,0.95,1.2000000000000002,0.774,1.1,1.9500000000000002,0.6,1.9,2.55,1.9,1.0499999999999998,0.15000000000000002,8.95,2020.0,3
29,141,George Hill,24.4,3.05,6.35,0.479,1.2,3.0,0.394,1.2999999999999998,1.5,0.8855,1.0,1.6,0.8500000000000001,2.45,3.3,2.8,0.8,0.1,8.55,2020.0,3
30,144,Glenn Robinson,28.8,4.6,9.5,0.487,1.2,3.2,0.391,1.2,1.4,0.86,0.9,1.6,1.3,3.0,4.4,1.5,0.9,0.3,11.7,2019.0,3
